Name,Link to soldier on AWM,Birth date,Date of birth,Birth place,Date and unit at enlistment (ORs),Final rank,Date of discharge,Conflict,Unit,Units,Date of embarkation,Embarkation date,Service number,Death date,Date of death,Death place,Place of death
Private James Anderson Punton,https://www.awm.gov.au/people/P10474495/#biography,none,none,"Australia: New South Wales, Newcastle, Wallsend",none,Private,none,none,none,none,1916-05-01,none,"1684 - First World War, 1914-1918",none,none,none,none
Sapper John Punton,https://www.awm.gov.au/people/P10677744/#biography,none,none,"Australia: New South Wales, Newcastle, Wallsend",none,Sapper,none,none,none,none,1916-10-25,none,"5812 - First World War, 1914-1918",none,none,none,none
Private Tommy Purcell,https://www.awm.gov.au/people/P10677745/#biography,none,none,"Australia: Queensland, North Queensland, Atherton",none,Private,none,none,15th Australian Infantry Battalion,none,1917-10-31,none,"7813A - First World War, 1914-1918",19 September 1918,1918-09-19,France,none
Private Stephen Wilfred Quinnell,https://www.awm.gov.au/people/P10616165/#biography,none,none,"Australia: New South Wales, Inverell",none,Private,none,none,none,none,1916-11-03,none,"4364 - First World War, 1914-1918",none,none,none,none
Private Edward Ralph,https://www.awm.gov.au/people/P10677950/#biography,1878,1878,"Australia: Western Australia, Bunbury",1916-01-24,Private,1916-02-18,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private George Ralph,https://www.awm.gov.au/people/P10588071/#biography,none,none,"Australia: Western Australia, Albany",none,Private,none,none,none,none,1917-09-17,none,"3773 - First World War, 1914-1918",none,none,none,none
Private William Ernest Ralph,https://www.awm.gov.au/people/P10385341/#biography,none,none,"Australia: New South Wales, Nambucca",none,Private,none,none,none,none,1916-11-17,none,"6874 - First World War, 1914-1918",none,none,none,none
Private Andrew James Enoch Rankine,https://www.awm.gov.au/people/P10677746/#biography,12 December 1898,1898-12-12,"Australia: South Australia, Point McLeay",none,Private,none,none,48th Australian Infantry Battalion,none,1917-10-30,none,"6379 - First World War, 1914-19186879 - First World War, 1914-1918",none,none,none,none
Private Ridgway William Rankine,https://www.awm.gov.au/people/P10496309/#biography,none,none,"Australia: South Australia, Point McLeay",none,Private,none,none,none,none,1916-12-16,none,"7062 - First World War, 1914-1918",none,none,none,none
Private Alfred Ravenscroft,https://www.awm.gov.au/people/P10636828/#biography,none,none,"Australia: New South Wales, Casino",none,Private,none,none,none,none,1915-11-02,none,"1515 - First World War, 1914-1918",none,none,none,none
Private William Reginald Rawlings,https://www.awm.gov.au/people/P10677085/#biography,1890,1890,"Australia: Victoria, Purnim",none,Private,none,none,29th Australian Infantry Battalion,none,1916-08-01,none,"3603 - First World War, 1914-1918",9 August 1918,1918-08-09,"France: Picardie, Somme, Vauvillers",none
Driver Edward Henry Rawson,https://www.awm.gov.au/people/P10677747/#biography,none,none,"Australia: Western Australia, Albany",none,Driver,none,none,14th Australian Field Artillery Brigade,none,1916-10-03,none,"29999 - First World War, 1914-1918",2 October 1917,1917-10-02,Belgium,none
Private Archibald George Read,https://www.awm.gov.au/people/P10373814/#biography,none,none,"Australia: New South Wales, Trangie",none,Private,none,none,none,none,1916-09-09,none,"1075 - First World War, 1914-1918",none,none,none,none
Private Jack Read,https://www.awm.gov.au/people/P10677961/#biography,1898,1898,"Australia: New South Wales, Dubbo",1916-01-18,Private,1916-06-15,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Robert Read,https://www.awm.gov.au/people/P10489971/#biography,none,none,"Australia: New South Wales, Dubbo",none,Private,none,none,none,none,1916-08-22,none,"5398 - First World War, 1914-1918",none,none,none,none
Private Edward Rees,https://www.awm.gov.au/people/P10348424/#biography,none,none,"Australia: Tasmania, Sheffield",none,Private,none,none,none,none,1916-01-05,none,"4356 - First World War, 1914-1918",none,none,none,none
Private George Reid,https://www.awm.gov.au/people/P10503706/#biography,none,none,"Australia: Queensland, Hughenden",none,Private,none,none,none,none,1916-10-21,none,"6508 - First World War, 1914-1918",none,none,none,none
Private John Patrick Reid,https://www.awm.gov.au/people/P10418032/#biography,none,none,"Australia: New South Wales, Cooma",none,Private,none,none,none,none,1915-06-16,none,"2195 - First World War, 1914-1918",none,none,none,none
Private Manuel Reid,https://www.awm.gov.au/people/P10619976/#biography,none,none,"Australia: New South Wales, Gunnedah",none,Private,none,none,none,none,1916-11-25,none,"4597 - First World War, 1914-1918",none,none,none,none
Private William Reid,https://www.awm.gov.au/people/P10677749/#biography,1897,1897,"Australia: Queensland, Bald Mountain",none,Private,none,none,31st Australian Infantry Battalion,none,1916-11-17,none,"4362 - First World War, 1914-1918",18 March 1918,1918-03-18,Belgium,none
Private William Reid,https://www.awm.gov.au/people/P10677959/#biography,1890,1890,"Australia: New South Wales, Wee Waa",1917-03-23,Private,none,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Private Matthew Revenew,https://www.awm.gov.au/people/P10559817/#biography,1881,1881,"Australia: New South Wales, Grafton",none,Private,none,none,none,none,1917-05-10,none,"3254 - First World War, 1914-19181271 - First World War, 1914-1918",none,none,none,none
Private William Rhodes,https://www.awm.gov.au/people/P10677752/#biography,none,none,"Australia: New South Wales, Grafton",1916-03-06,Private,none,none,33rd Australian Infantry Battalion,none,1916-05-04,none,"941 - First World War, 1914-1918",10 May 1917,1917-05-10,France,none
Private William Richards,https://www.awm.gov.au/people/P10548710/#biography,none,none,"Australia: Queensland, Torrens Creek",none,Private,none,none,none,none,1917-06-14,none,"3407 - First World War, 1914-1918",27 November 1956,1956-11-27,"Australia: Queensland, Brisbane",none
Private Cyril Spurgeon Rigney,https://www.awm.gov.au/people/P10677753/#biography,none,none,"Australia: South Australia, Point McLeay",none,Private,none,none,43rd Australian Infantry Battalion,none,1916-07-13,none,"2042 - First World War, 1914-1918",3 July 1917,1917-07-03,Belgium,none
Private Gordon Rigney,https://www.awm.gov.au/people/P10677755/#biography,none,none,"Australia: South Australia, Point McLeay",none,Private,none,none,none,none,1916-09-21,none,"2663 - First World War, 1914-1918",none,none,none,none
Private Rufus Gordon Rigney,https://www.awm.gov.au/people/P10677754/#biography,none,none,"Australia: South Australia, Point McLeay",none,Private,none,none,48th Australian Infantry Battalion,none,1916-09-21,none,"3872 - First World War, 1914-1918",16 October 1917,1917-10-16,Belgium,none
Private Alexander Riley,https://www.awm.gov.au/people/P10537060/#biography,10 August 1887,1887-08-10,"Australia: Queensland, Winton",none,Private,none,none,none,none,1917-11-16,none,"7122 - First World War, 1914-1918",none,none,none,none
Private Arthur Riley,https://www.awm.gov.au/people/P10677957/#biography,1889,1889,"Australia: Queensland, Gayndah",1917-05-14,Private,1917-06-13,none,none,none,none,none,"19613 - First World War, 1914-1918",none,none,none,none
Private Ernest Riley,https://www.awm.gov.au/people/P10677958/#biography,1886,1886,"Australia: New South Wales, Picton",none,Private,none,none,none,none,none,none,"2473 - First World War, 1914-1918",none,none,none,none
Private Herbert Riley,https://www.awm.gov.au/people/P10416201/#biography,none,none,"Australia: New South Wales, Parkes",none,Private,none,none,none,none,1916-09-09,none,"6332 - First World War, 1914-1918",none,none,none,none
Private Thomas Rine,https://www.awm.gov.au/people/P10677772/#biography,none,none,"Australia: New South Wales, Warren",none,Private,none,none,none,none,1917-11-16,none,"3513 - First World War, 1914-1918",none,none,none,none
Private Mark Ring,https://www.awm.gov.au/people/P10677960/#biography,1885,1885,"Australia: Western Australia, Katanning",1917-11-02,Private,1918-03-22,none,none,none,none,none,"7345 - First World War, 1914-1918",none,none,none,none
Private William Manuel Ring,https://www.awm.gov.au/people/P10677773/#biography,none,none,"Australia: Western Australia, Katanning",none,Private,none,none,none,none,1916-05-16,none,"1271 - First World War, 1914-1918",none,none,none,none
Private Alf Roberts,https://www.awm.gov.au/people/P10557050/#biography,25 December 1899,1899-12-25,"Australia: Queensland, Goondiwindi",none,Private,none,none,none,none,1917-05-10,none,"3758 - First World War, 1914-1918N281674 - Second World War, 1939-1945",none,none,none,none
Private Bob Roberts,https://www.awm.gov.au/people/P10677962/#biography,1890,1890,"Australia: Queensland, Pentland",none,Private,none,none,none,none,none,none,"64377 - First World War, 1914-1918",none,none,none,none
Private Harry Roberts,https://www.awm.gov.au/people/P10677964/#biography,5 April 1887,1887-04-05,"Australia: Queensland, Clermont",none,Private,none,none,5th Australian Light Horse Regiment,none,none,none,"50278 - First World War, 1914-1918",none,none,none,none
Private Herbert Roberts,https://www.awm.gov.au/people/P10677965/#biography,1 February 1896,1896-02-01,"Australia: Queensland, Beaudesert",1918-02-21,Private,1918-06-21,none,none,none,none,none,"50265 - First World War, 1914-1918",none,none,none,none
Trooper Pompey Roberts,https://www.awm.gov.au/people/P10677966/#biography,1888,1888,"Australia: Queensland, North Queensland, St Lawrence",none,Trooper,none,none,11th Australian Light Horse Regiment,none,none,none,"56924 - First World War, 1914-1918",none,none,none,none
Private Sid Roberts,https://www.awm.gov.au/people/P10636319/#biography,none,none,"Australia: Queensland, Mitchell",none,Private,none,none,none,none,1918-03-02,none,"3491 - First World War, 1914-1918",none,none,none,none
Private William Robertson,https://www.awm.gov.au/people/P10618349/#biography,none,none,"Australia: South Australia, Adelaide",none,Private,none,none,none,none,1917-06-21,none,"4741 - First World War, 1914-1918",none,none,none,none
Private Alfred Arthur Robins,https://www.awm.gov.au/people/P10677778/#biography,none,none,"Australia: New South Wales, Junee",none,Private,none,none,4th Australian Infantry Battalion,none,1915-02-11,none,"1426 - First World War, 1914-1918",2 May 1915,1915-05-02,"Turkey: Canakkale Province, Gallipoli Peninsula",none
Private Cyril Guy Robins,https://www.awm.gov.au/people/P10572673/#biography,none,none,"Australia: New South Wales, Junee",none,Private,none,none,none,none,1916-02-18,none,"2166 - First World War, 1914-1918",none,none,none,none
Private Robert William Robins,https://www.awm.gov.au/people/P10573800/#biography,none,none,"Australia: New South Wales, Cootamundra",none,Private,none,none,none,none,1916-09-07,none,"2486 - First World War, 1914-1918",none,none,none,none
Private Roy Reginald Robins,https://www.awm.gov.au/people/P10470921/#biography,1895,1895,"Australia: New South Wales, Junee",none,Private,none,none,17th Australian Infantry Battalion,none,1916-04-09,none,"4516 - First World War, 1914-1918",none,none,none,none
Private Albert Robinson,https://www.awm.gov.au/people/P10503708/#biography,none,none,"Australia: New South Wales, Tenterfield",none,Private,none,none,none,none,1916-10-21,none,"6509 - First World War, 1914-1918",none,none,none,none
Private Tom Robinson,https://www.awm.gov.au/people/P10454896/#biography,none,none,"Australia: New South Wales, Tenterfield",none,Private,none,none,none,none,1917-06-16,none,"6824 - First World War, 1914-1918",none,none,none,none
Private Arthur Albert Rogers,https://www.awm.gov.au/people/P10647510/#biography,none,none,"Australia: New South Wales, Bowraville",none,Private,none,none,1st Australian Pioneer Battalion,none,1916-08-22,none,"2410 - First World War, 1914-1918",none,none,none,none
Private Martin Rogers,https://www.awm.gov.au/people/P10650708/#biography,none,none,"Australia: New South Wales, Windsor",none,Private,none,none,1st Australian Pioneer Battalion,none,1917-01-24,none,"3901 - First World War, 1914-1918",none,none,none,none
Lance Corporal John Rollins,https://www.awm.gov.au/people/P10682728/#biography,none,none,"Australia: Victoria, Warrnambool",none,Lance Corporal,none,none,52nd Australian Infantry Battalion,none,1915-04-19,none,"1867 - First World War, 1914-1918",none,none,none,none
Trooper George Ronan,https://www.awm.gov.au/people/P10677967/#biography,1899,1899,"Australia: Western Australia, Mount Eric",none,Trooper,none,none,none,none,none,none,"W14268 - First World War, 1914-1918",none,none,none,none
Corporal Ewan Rose,https://www.awm.gov.au/people/P10677779/#biography,none,none,"Australia: Queensland, Brisbane",none,Corporal,none,none,14th Australian Light Trench Mortar Battery,none,1915-10-08,none,"3132 - First World War, 1914-1918",12 October 1945,1945-10-12,none,none
Private George Rose,https://www.awm.gov.au/people/P10466075/#biography,19 July 1899,1899-07-19,"Australia: Victoria, Purnim",none,Private,none,none,none,none,1918-11-07,none,"69102 - First World War, 1914-1918",1966,1966,none,none
Private Peter Ross,https://www.awm.gov.au/people/P10576326/#biography,1896,1896,"Australia: Victoria, Purrumbete",none,Private,none,none,2nd Australian Pioneer Battalion,none,1916-01-05,none,"3620 - First World War, 1914-1918",none,none,none,none
Private Benjamin Rountree,https://www.awm.gov.au/people/P10619496/#biography,1895,1895,"Australia: New South Wales, Ballina",none,Private,none,none,30th Australian Infantry Battalion,none,1916-10-07,none,"4100 - First World War, 1914-1918",none,none,none,none
Private Thomas Rountree,https://www.awm.gov.au/people/P10544060/#biography,1897,1897,"Australia: New South Wales, Ballina",none,Private,none,none,42nd Australian Infantry Battalion,none,1916-06-05,none,"463 - First World War, 1914-1918",26 March 1963,1963-03-26,none,none
Private John Rowan,https://www.awm.gov.au/people/P10422314/#biography,1888,1888,"Australia: Victoria, Healesville",none,Private,none,none,46th Australian Infantry Battalion,none,1915-02-02,none,"1416 - First World War, 1914-19181506 - First World War, 1914-1918",28 December 1939,1939-12-28,none,none
Private Raymond Charles Runga,https://www.awm.gov.au/people/P10677710/#biography,none,none,"Australia: South Australia, Naracoorte",none,Private,none,none,6th Australian Infantry Battalion,none,1916-04-04,none,"5476 - First World War, 1914-1918",none,none,none,none
Private Archibald Russell,https://www.awm.gov.au/people/P10677968/#biography,1893,1893,"Australia: New South Wales, Forster",1916-03-29,Private,1916-06-23,none,none,none,none,none,"N11340 - First World War, 1914-1918",none,none,none,none
Private Arthur Herbert Rutley,https://www.awm.gov.au/people/P10421392/#biography,none,none,"Australia: New South Wales, Baradine",none,Private,none,none,none,none,1915-12-20,none,"3896 - First World War, 1914-1918",none,none,none,none
Private John Ruttley,https://www.awm.gov.au/people/P10530923/#biography,none,none,"Australia: New South Wales, Walgett",none,Private,none,none,none,none,1916-11-17,none,"2644 - First World War, 1914-1918",none,none,none,none
Private William Ruttley,https://www.awm.gov.au/people/P10677781/#biography,none,none,"Australia: New South Wales, Moree",none,Private,none,none,47th Australian Infantry Battalion,none,1917-01-24,none,"3481 - First World War, 1914-1918",16 October 1917,1917-10-16,Belgium,none
Corporal William John Ruttley,https://www.awm.gov.au/people/P10677780/#biography,none,none,"Australia: New South Wales, Narrabri",none,Corporal,none,none,13th Australian Infantry Battalion,none,1915-12-20,none,"3897 - First World War, 1914-1918",29 August 1916,1916-08-29,France,none
Private John William Sam,https://www.awm.gov.au/people/P10677969/#biography,6 June 1899,1899-06-06,"Australia: Queensland, Tambo",1917-12-27,Private,1918-02-03,none,none,none,none,none,"Q20209 - First World War, 1914-1918Q21817 - First World War, 1914-1918",none,none,none,none
Private Norman Samuels,https://www.awm.gov.au/people/P10677970/#biography,1897,1897,"Australia: Queensland, North Queensland, Rockhampton",1917-03-24,Private,1917-03-26,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Thomas Samuels,https://www.awm.gov.au/people/P10677971/#biography,15 July 1896,1896-07-15,"Australia: Queensland, North Queensland, Innisfail",none,Private,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Harry Saunders,https://www.awm.gov.au/people/P10682328/#biography,13 May 1919,1919-05-13,"Australia: Victoria, Allansford",none,Private,none,none,2/14th Australian Infantry Battalion,none,none,none,"VX18629 - Second World War, 1939-1945",29 November 1942,1942-11-29,"Papua New Guinea: Papua, Owen Stanley Ranges, Buna Area",none
Captain Reginald Walter 'Reg' Saunders,https://www.awm.gov.au/people/P302/#biography,7 August 1920,1920-08-07,"Australia: Victoria, Purnim",1940-04-24,Captain,1954-10-05,none,"3rd Battalion, The Royal Australian Regiment
2/7th Australian Infantry Battalion",none,none,none,"337678 - Korea, 1950-1953VX12843 - Second World War, 1939-1945",2 March 1990,1990-03-02,none,none
Private Walter Christopher George Saunders,https://www.awm.gov.au/people/P10562602/#biography,1895,1895,"Australia: Victoria, Warrnambool",none,Private,none,none,none,none,1916-05-27,none,"234 - First World War, 1914-1918",none,none,none,none
Sapper Albert Henry Sayers,https://www.awm.gov.au/people/P10677782/#biography,none,none,"Australia: Western Australia, Perth, Guildford",none,Sapper,none,none,Railway Unit Details,none,1918-10-22,none,"3215 - First World War, 1914-1918",15 December 1918,1918-12-15,"Australia: Western Australia, Perth, Quarantine Station",none
Private Charles Hector Sayers,https://www.awm.gov.au/people/P10682729/#biography,none,none,"Australia: Western Australia, Busselton",none,Private,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Frederick Leslie Sayers,https://www.awm.gov.au/people/P10652238/#biography,none,none,"Australia: Western Australia, Busselton",none,Private,none,none,none,none,1915-06-25,none,"1042 - First World War, 1914-1918",none,none,none,none
Stoker Laurence Allen Sayers,https://www.awm.gov.au/people/P10680185/#biography,18 August 1894,1894-08-18,"Australia: Western Australia, Busselton",none,Stoker,none,none,"HMAS Encounter
HMAS Cerberus
HMAS Fantome
HMAS Yarra",none,none,none,"2238 - First World War, 1914-19182238 - Period 1910-1919",none,none,none,none
Private Allan McIntosh Scott,https://www.awm.gov.au/people/P10677973/#biography,1891,1891,"Australia: South Australia, Adelaide",none,Private,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Henry James Searle,https://www.awm.gov.au/people/P10682731/#biography,none,none,"Australia: Western Australia, Gnowangerup",none,Private,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private John Thomas Searle,https://www.awm.gov.au/people/P10682730/#biography,none,none,"Australia: Western Australia, Gnowangerup",none,Private,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Michael Henry Searle,https://www.awm.gov.au/people/P10543253/#biography,none,none,"Australia: Western Australia, Albany",none,Private,none,none,none,none,1916-11-09,none,"2619 - First World War, 1914-1918",none,none,none,none
Private Earle Hartoul Sellers,https://www.awm.gov.au/people/P10677972/#biography,1897,1897,"Australia: Tasmania, Scottsdale",1915-10-13,Private,1915-12-26,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private George Ira Sellers,https://www.awm.gov.au/people/P10536276/#biography,none,none,"Australia: Tasmania, Sheffield",none,Private,none,none,none,none,1917-11-26,none,"19646 - First World War, 1914-1918",none,none,none,none
Private Harold Thomas Sellers,https://www.awm.gov.au/people/P10551974/#biography,none,none,"Australia: Tasmania, Scottsdale",none,Private,none,none,none,none,1916-07-01,none,"1709 - First World War, 1914-1918",none,none,none,none
Private Frederick Denton Sharpe,https://www.awm.gov.au/people/P10640187/#biography,none,none,"Australia: South Australia, Adelaide",none,Private,none,none,none,none,1916-08-24,none,"2825 - First World War, 1914-1918",18 January 1945,1945-01-18,none,none
Private Claude Shaw,https://www.awm.gov.au/people/P10345177/#biography,27 February 1895,1895-02-27,"Australia: Western Australia, Gingin",none,Private,none,none,none,none,1915-06-18,none,"2413 - First World War, 1914-1918968 - Second World War, 1939-1945W29112 - Second World War, 1939-1945",17 February 1970,1970-02-17,none,none
Private William George Shaw,https://www.awm.gov.au/people/P10660063/#biography,4 September 1886,1886-09-04,"Australia: Western Australia, Gingin",none,Private,none,none,none,none,1917-10-30,none,"4388 - First World War, 1914-1918",15 September 1954,1954-09-15,none,none
Private Albert Shepherd,https://www.awm.gov.au/people/P10677974/#biography,1874,1874,"Australia: New South Wales, Coxs River",none,Private,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Albert John Shepherd,https://www.awm.gov.au/people/P10682732/#biography,none,none,"Australia: New South Wales, Sydney",none,Private,none,none,54th Australian Infantry Battalion,none,1916-03-08,none,"4878 - First World War, 1914-1918",none,none,none,none
Private Robert Shepherd,https://www.awm.gov.au/people/P10658243/#biography,1897,1897,"Australia: Northern Territory, Darwin",1917-12-12,Private,none,none,11th Australian Light Horse Regiment,none,1918-04-30,none,"4445 - First World War, 1914-1918",2 February 1937,1937-02-02,"Australia: Northern Territory, Darwin",none
Private William Simon,https://www.awm.gov.au/people/P10523706/#biography,none,none,"Australia: New South Wales, Forster",none,Private,none,none,none,none,1917-01-24,none,"6564 - First World War, 1914-1918",none,none,none,none
Private Ernest Simpson,https://www.awm.gov.au/people/P10460755/#biography,none,none,"Australia: New South Wales, Goulburn",none,Private,none,none,none,none,1918-07-17,none,"59599 - First World War, 1914-1918",none,none,none,none
Private Ernest Simpson,https://www.awm.gov.au/people/P10560149/#biography,none,none,"Australia: New South Wales, Goulburn",none,Private,none,none,none,none,1917-12-19,none,"4912 - First World War, 1914-1918",none,none,none,none
Private Francis Henry Simpson,https://www.awm.gov.au/people/P10677975/#biography,1896,1896,"Australia: New South Wales, Narrandera",1917-12-08,Private,1917-12-10,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Gale Simpson,https://www.awm.gov.au/people/P10605072/#biography,1895,1895,"Australia: Queensland, Wondai",none,Private,none,none,49th Australian Infantry Battalion,none,1917-08-01,none,"3732 - First World War, 1914-19183732A - First World War, 1914-1918",none,none,none,none
Private Stanford Wallace Simpson,https://www.awm.gov.au/people/P10679288/#biography,1877,1877,"Australia: South Australia, Kangaroo Island",none,Private,none,none,10th Australian Infantry Battalion,none,1916-06-27,none,"687 - First World War, 1914-1918R687 - First World War, 1914-1918",none,none,none,none
Private George Henry Sims,https://www.awm.gov.au/people/P10469006/#biography,13 March 1890,1890-03-13,"Australia: New South Wales, Windsor",none,Private,none,none,26th Australian Infantry Battalion,none,1918-07-17,none,"57915 - First World War, 1914-1918",none,none,none,none
Private Norman Sims,https://www.awm.gov.au/people/P10680186/#biography,none,none,"Australia: New South Wales, Kiama",none,Private,none,none,Depot,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Private Wesley Sims,https://www.awm.gov.au/people/P10680187/#biography,none,none,"Australia: New South Wales, Port Kembla",none,Private,none,none,Depot,none,none,none,"N95272 - First World War, 1914-1918",none,none,none,none
Private Arthur Leslie Sinclair,https://www.awm.gov.au/people/P10357316/#biography,1897,1897,"Australia: New South Wales, Berthong",none,Private,none,none,none,none,1914-12-22,none,"1373 - First World War, 1914-1918",none,none,none,none
Sapper Charles Sinclair,https://www.awm.gov.au/people/P10604630/#biography,none,none,"Australia: New South Wales, Kangaroo Valley",none,Sapper,none,none,none,none,none,none,"6108 - First World War, 1914-1918",none,none,none,none
Private Eric Sinclair,https://www.awm.gov.au/people/P10509172/#biography,none,none,"Australia: New South Wales, Bega",none,Private,none,none,none,none,1916-05-02,none,"183 - First World War, 1914-1918",none,none,none,none
Farrier Sergeant George Albert Sinclair,https://www.awm.gov.au/people/P10385606/#biography,none,none,"Australia: New South Wales, Kangaroo Valley",none,Farrier Sergeant,none,none,none,none,1915-11-25,none,"7332 - First World War, 1914-1918",none,none,none,none
Private John Victor Sinclair,https://www.awm.gov.au/people/P10677787/#biography,none,none,"Australia: New South Wales, Kangaroo Valley",none,Private,none,none,41st Australian Infantry Battalion,none,1916-09-07,none,"2156 - First World War, 1914-1918",27 March 1919,1919-03-27,Australia,none
Private Joseph Dunbar Sinclair,https://www.awm.gov.au/people/P10511454/#biography,none,none,"Australia: New South Wales, Nowra",none,Private,none,none,none,none,1917-08-02,none,"3684 - First World War, 1914-1918",6 May 1930,1930-05-06,none,none
Private Alfred Skelly,https://www.awm.gov.au/people/P10514819/#biography,1879,1879,"Australia: New South Wales, Cowra",1916-04-04,Private,1918-04-08,none,none,none,1916-08-19,none,"2223 - First World War, 1914-1918",none,none,none,none
Private Sydney Joseph Skelly,https://www.awm.gov.au/people/P10677978/#biography,1878,1878,"Australia: New South Wales, Dubbo",none,Private,none,none,none,none,none,none,"207 - First World War, 1914-1918",none,none,none,none
Private Thomas Skelly,https://www.awm.gov.au/people/P10677790/#biography,1881,1881,"Australia: New South Wales, Nyngan",none,Private,none,none,54th Australian Infantry Battalion,none,1916-06-23,none,"1980 - First World War, 1914-1918",1 September 1918,1918-09-01,France,none
Private William Skelly,https://www.awm.gov.au/people/P10590035/#biography,1888,1888,"Australia: New South Wales, Mount Hope",none,Private,none,none,none,none,1915-08-09,none,"2033 - First World War, 1914-1918",none,none,none,none
Private James Alexander Slater,https://www.awm.gov.au/people/P10679289/#biography,1886,1886,Australia: New South Wales,none,Private,none,none,20th Australian Infantry Battalion,none,1917-01-24,none,"6563 - First World War, 1914-1918",28 April 1918,1918-04-28,France,none
Private William Thomas Slater,https://www.awm.gov.au/people/P10523455/#biography,1877,1877,"Australia: New South Wales, Foster",none,Private,none,none,20th Australian Infantry Battalion,none,1917-01-24,none,"6562 - First World War, 1914-1918",none,none,none,none
Private John Sloane,https://www.awm.gov.au/people/P10429148/#biography,none,none,"Australia: New South Wales, Forbes",none,Private,none,none,none,none,1914-12-22,none,"783 - First World War, 1914-1918",none,none,none,none
Gunner Albert Charles Edward Smith,https://www.awm.gov.au/people/P10677793/#biography,none,none,"Australia: Tasmania, Nicholls Rivulet",none,Gunner,none,none,4th Australian Field Artillery Brigade,none,1916-01-28,none,"12407 - First World War, 1914-1918",18 September 1918,1918-09-18,France,none
Gunner Archie Wilmore Smith,https://www.awm.gov.au/people/P10384681/#biography,none,none,"Australia: Tasmania, Nicholls Rivulet",none,Gunner,none,none,none,none,1916-01-28,none,"12408 - First World War, 1914-1918",none,none,none,none
Private Augustus Eugene Smith,https://www.awm.gov.au/people/P10677794/#biography,none,none,"Australia: Tasmania, Cygnet, Port Cygnet",none,Private,none,none,26th Australian Infantry Battalion,none,1915-09-27,none,"2232 - First World War, 1914-1918",19 December 1919,1919-12-19,United Kingdom,none
Private Cecil Walter Smith,https://www.awm.gov.au/people/P10682734/#biography,none,none,"Australia: New South Wales, Walgett",none,Private,none,none,56th Australian Infantry Battalion,none,1916-03-11,none,"9722 - First World War, 1914-1918",26 September 1917,1917-09-26,Belgium,none
Trooper Charles Smith,https://www.awm.gov.au/people/P10264561/#biography,16 March 1899,1899-03-16,"Australia: Queensland, Charters Towers",none,Trooper,none,none,Australian Reinforcement,none,none,none,"64382 - First World War, 1914-1918",19 November 1918,1918-11-19,At sea,none
Private Charles Henry Smith,https://www.awm.gov.au/people/P10510584/#biography,none,none,"Australia: New South Wales, Bathurst",none,Private,none,none,none,none,1917-10-31,none,"3728 - First World War, 1914-1918",none,none,none,none
Private Edward Smith,https://www.awm.gov.au/people/P10656857/#biography,1886,1886,"Australia: Queensland, Mitchell",none,Private,none,none,11th Australian Light Horse Regiment,none,1917-12-19,none,"2445 - First World War, 1914-1918",none,none,none,none
Private Frank Herbert Smith,https://www.awm.gov.au/people/P10429751/#biography,none,none,"Australia: Western Australia, Arthur River",none,Private,none,none,none,none,1916-01-17,none,"4294 - First World War, 1914-1918",none,none,none,none
Private Harold Leslie Smith,https://www.awm.gov.au/people/P10680188/#biography,none,none,"Australia: South Australia, Prospect",none,Private,none,none,Depot,none,none,none,"96306 - First World War, 1914-1918",none,none,none,none
Private Horatio William Smith,https://www.awm.gov.au/people/P10682733/#biography,none,none,"Australia: New South Wales, Walgett",none,Private,none,none,none,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Private James Smith,https://www.awm.gov.au/people/P10677979/#biography,1897,1897,"Australia: New South Wales, St Clair",none,Private,none,none,none,none,none,none,"795 - First World War, 1914-1918N/D795 - First World War, 1914-1918",none,none,none,none
Private James Smith,https://www.awm.gov.au/people/P10618108/#biography,1898,1898,"Australia: New South Wales, Narrandera",none,Private,none,none,1st Australian Infantry Battalion,none,1916-09-09,none,"6381 - First World War, 1914-1918",none,none,none,none
Private James Alfred Smith,https://www.awm.gov.au/people/P10677801/#biography,none,none,"Australia: New South Wales, Moree",none,Private,none,none,53rd Australian Infantry Battalion,none,1916-05-04,none,"1599 - First World War, 1914-1918",11 April 1918,1918-04-11,France,none
Sergeant Leonard Gilmore Smith,https://www.awm.gov.au/people/P10680193/#biography,none,none,"Australia: South Australia, Adelaide",none,Sergeant,none,none,19th Australian Infantry Battalion,none,1915-06-25,none,"1303 - First World War, 1914-1918",3 May 1917,1917-05-03,France,none
Private Leslie Arthur Smith,https://www.awm.gov.au/people/P10677982/#biography,1893,1893,"Australia: New South Wales, Narromine",none,Private,none,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
